科学家,句子编号,句子,情感得分,情感类别
居里夫人,80,"译 者 1956年12月 前 言 玛丽 居里一生中伟大事迹极多,所以人们都喜欢象说传奇 那样叙述她的历史",0.9996,正面
居里夫人,81,"她是一个女子,属于一个当时被压迫的民族,她家境贫寒,姿 容美丽",0.9977,正面
居里夫人,82,一种强烈的使命感使她离开她的祖国波兰到巴黎去求学;她 在巴黎度过了好几年艰苦孤寂的生活,1.0,正面
居里夫人,83,"她遇上一个象她一样有天才的人,和他结了婚",0.1163,负面
居里夫人,84,"他们的幸福, 其性质是与众不同的",0.9454,正面
居里夫人,85,"玛丽和比埃尔 居里以最顽强、最枯燥的努力,发现了一种不 可思议的物体镭",0.9073,正面
居里夫人,86,"这个发现不仅产生了一种新科学和一种新 哲学,还给人类带来了治疗一种可怕疾病的方法",1.0,正面
居里夫人,87,"正当这两位学者誉满全球的时候,玛丽遭到了丧偶的不幸;顷 刻之间,死神便夺去了她那非凡的伴侣",1.0,正面
居里夫人,88,"但是她不顾精神上的痛苦和身体上的疾病,独力继续进行既 定的工作,使夫妻俩共同创造的科学大放异彩",0.9997,正面
居里夫人,89,"她完全贡献出了她的余生:她把她的热诚和健康贡献给在战 争中受伤的人,后来,把她的忠告、学识和全部时间贡献给她的 学生,贡献给由世界各地去的未来学者",1.0,正面
居里夫人,90,"使命完成之后,她力竭而死;她终身拒绝财富,对于荣誉,也漠 指笫一次世界大战",0.9252,正面
居里夫人,91,"对这个神话般的故事哪怕加上极小的虚饰,我认为都是莫大 的罪过",0.9454,正面
居里夫人,92,"我所叙述的事迹,都是我确实知道的,我没有改换一句重 要的言词,也没有捏造一件衣服的颜色,事情都确实发生过,引用 的话也都的确说过",0.9628,正面
居里夫人,93,"我感谢我的波兰亲戚,尤其感谢我母亲最亲近的伴侣我 的大姨妈德卢斯卡夫人,她为我提供了珍贵的函件和关于这位学 者青年时期事迹的直接证物",1.0,正面
居里夫人,94,"玛丽 居里遗留的私人文件和简短的 传记草稿,无数官方文件,我感激不尽的法国朋友和波兰朋友的记 述和信札,我姐姐伊雷娜 约里奥-居里、姐夫弗雷德里克 约 里奥和我自己的回忆,帮助我追忆起这位学者近年的事迹",1.0,正面
居里夫人,95,"坚定不移的性格;智力方面锲而不舍的努力;只知贡献一切而 不知谋取或接受任何利益的自我牺牲精神;尤其是成功不骄傲、灾 祸不能屈的非常纯洁的灵魂:这些就是玛丽 居里生来所具有的 品质,比她的工作或丰富多彩的生活更为难能可贵,我希望读者 在人生暂时的荣枯浮沉中,能随时加以辨识",1.0,正面
居里夫人,96,"因为她有这样纯洁的灵魂,她毫不顾惜地拒绝了有天才的人 可以由盛名得来的种种利益",0.9544,正面
居里夫人,97,世界要她扮演的角色使她感到痛苦,0.9994,正面
居里夫人,98,"她生性严于律己,而且 不露锋芒,因此,她始终不可能采取任何一种沽名钓誉的态度,既 不愿表示亲昵,也不愿假装和蔼,不肯故示端严,也不肯矫饰谦逊",0.0025,负面
居里夫人,99,她根本不懂得显声扬名,0.3307,负面
居里夫人,100,"章 伊雷娜 约里奥一居里(18961956),法国物理学家,研究放射化学和核子 物理学",0.9968,正面
居里夫人,101,1926年与弗雷德里克 约里奥结婚,0.553,中性
居里夫人,102,"弗雷德里克 约里奥- 居里(1900 1958),法国物理学家",0.561,中性
居里夫人,103,居里夫妇的女 婿,0.2926,负面
居里夫人,104,1935年约里奥-居里夫妇共同获得诺贝尔化学奖,0.8976,正面
居里夫人,105,"我出生的时候,母亲已经三十七岁",0.9693,正面
居里夫人,106,"等我长大到能够了解她 的时候,她已经是个令名卓著的上了年纪的妇女;然而这位著名 学者对我来说却是极其生疏的,无疑这是因为玛丽 居里心里 就没有自认为是个什么著名学者",1.0,正面
居里夫人,107,"而和我住在一起的,似乎永远 是那个富于梦想的穷学生,是在我来到这个世界之前很久的那个 玛丽 斯可罗多夫斯卡",0.9997,正面
居里夫人,108,"玛丽 居里一直到去世的时候,总带着和那个女孩相似的地 方;她那漫长的艰苦灿烂的生涯,并没有使她更伟大或更渺小,也 没有抬高或贬低了她",0.9999,正面
居里夫人,109,"直到弥留,她仍然温和、坚决、胆小而且好 奇,一如在她那默默无闻的早年时期",0.9736,正面
居里夫人,110,"若用政府给大人物们那样隆重的葬仪来安葬她,未免亵渎",0.9043,正面
居里夫人,111,"她是在夏日的花丛中,以最简单、最安静的仪式葬在一个乡间墓地 里,似乎她刚刚结束的一生与其他千千万万的人并没有什么不 同",0.9995,正面
居里夫人,112,"爱因斯坦说过:在所有的著名人物中,居里夫人是唯一不 为荣誉所腐蚀的人",0.9536,正面
居里夫人,113,"我深愿具有作家的才能,以便能够说出这位 不朽的女学生如何象个陌生人那样度过自己的一生,完全不为外 物所移,纯出自然,并且对自己的惊人命运几乎毫无觉察",0.9996,正面
居里夫人,114,"艾芙 居里 爱因斯坦(18791955),物理学家",0.7712,正面
居里夫人,115,"生于德国,1933年因受纳粹政权迫 害,迁居美国.由于理论物理学方面的贡献,特别是发现光电效应定律,于1921年获得 诺贝尔物理学奖. 第 一 卷 第一章 玛妮雅 诺佛立普基路的那所中学,到星期日总是静悄悄的",1.0,正面
居里夫人,116,"石头的 三角门额下面镌刻着男子中学几个俄文字,正门上了闩,那有柱 子的前厅就象一座荒废的庙宇",0.829,正面
居里夫人,117,"没有人在这所长而低的两层楼房 里活动,在那些光线充足的屋子里,整齐排列着黑色的木制课桌, 上面都有裁纸刀划的刀痕和刻的名字的第一个字母",0.0262,负面
居里夫人,118,"除了圣母教 堂唤人作晚祷的钟声,和不时由街上断续传来两轮送货车的车轮 滚动声,或拉四轮马车的马儿懒洋洋的马蹄声之外,再听不见任何 声音",0.0038,负面
居里夫人,119,"在围着前院的篱栅里面,学校的四棵既不鲜明也不繁盛的 紫丁香正开着花;穿着星期日盛装的过路人,有时候因为闻到一股 甜香而惊讶地回过头来",0.8863,正面
居里夫人,120,"虽然那时候五月还没有过完,天气却已 经很热了,在华沙,日头同冰霜一样严酷,一样强烈",0.607,正面
居里夫人,121,但是这种安息日的宁静被一片声音扰乱了,0.3198,负面
居里夫人,122,"在这所建筑物左 翼第一层里,住着这所学校的物理学教师兼副督学乌拉狄斯拉 夫 斯可罗多夫斯基先生,由那里传来一种奇怪活动的震耳的回 音",0.9708,正面
居里夫人,123,"先是锤子敲打声,没有次序也没有节奏;接着是建筑物坍倒的 轰响,夹着尖锐的喊声;然后又是锤子敲打声并且有用波兰语 喊的简短命令: 海拉,我没有弹药了! 塔,约瑟夫,瞄准那座塔! 玛妮雅让开! 怎么啦,我给你拿木块呢! 啊:啊!!啊!!! 哗啦一声,木块轰隆隆地在打蜡的嵌木地板上滚动,那座塔不 见了",0.9775,正面
居里夫人,124,"叫喊声更响了,一些当作炮弹的木块飞着,撞击着 这个战场是一间很宽敞的正方形屋子,窗户朝着学校的里院, 屋子四角有四张小孩子的床",0.2307,负面
居里夫人,125,"四个五岁到九岁的孩子,正在屋里 大喊大叫地玩打仗游戏",0.9739,正面
居里夫人,126,"这些小斯可罗多夫斯基的喜欢玩纸牌的 叔叔,在圣诞夜给了他们一套建筑玩具,他决没有料到他的礼物竟 给派了这样的用途",0.8381,正面
居里夫人,127,"有几天,约瑟夫、布罗妮雅、海拉、玛妮雅乖乖 地照着他们在那个大木匣里找着的模型造城堡、桥梁和教堂",0.9995,正面
居里夫人,128,"但 是,不久这些木条木块就有了新用途,短橡木条成了大炮,小木块 成了子弹,而这些小工程师都成了陆军元帅",0.4711,中性
居里夫人,129,"约瑟夫匐伏在地板上,向前推进着,把炮一步步向对方移动",0.802,正面
居里夫人,130,"就是在酣战中,他那健康的孩子气的脸上,仍不失军队指挥官应有 的庄严神色;在这四个孩子中,他的年岁最大,知识最丰富,而且是 唯一的男子",1.0,正面
居里夫人,131,"他周围都是女孩,衣服穿得一样,并且在她们的星期 日穿的衣服上,都戴着褶领,系着深色有花边的小围裙 说句公道话:这些女孩子都打得很好",0.9682,正面
居里夫人,132,"海拉是约瑟夫的同盟, 她眼睛炯炯有神,闪现一股蛮劲儿",0.6699,正面
居里夫人,133,"她因为自己只有六岁半而生 气,羡慕布罗妮雅有八岁;她要把木块扔得更远,更有力量",0.9999,正面
居里夫人,134,"布罗妮 雅是一个极活泼的胖女孩,当她挥手动脚保护她那排在两个窗户 之间的队伍时,她的一头金发便在空中甩来甩去",0.982,正面
居里夫人,135,"布罗妮雅旁边有一个很小的副官,用带花边的围裙兜军火,由 这一队飞跑到那一队,忙得不可开交;她的脸红得象火,她的嘴唇 因为喊得太多、笑得太多,都焦了 玛妮雅! 这个小孩正跑的时候,听见这一声就站住了,放松紧握在胸前 的围裙,一堆木块撒了一地",0.9925,正面
居里夫人,136,"什么事呀? 素希雅,五个小斯可罗多夫斯基里最大的一个,刚走进这间屋 子",0.8933,正面
居里夫人,137,"她虽不到十二岁,可是在弟弟妹妹中间,她就象个大人了",0.7967,正面
居里夫人,138,"她 的灰色长发梳向后面,很随便地披在肩上;她有一张热惰洋溢的美 丽面庞;一双清秀的灰色眼睛,显得富于梦想",0.9044,正面
居里夫人,139,"妈妈说你玩得太久了,现在该停了",0.7479,正面
居里夫人,140,可是布罗妮雅需要我我是给她拿木块的! 妈妈叫你去,0.9811,正面
居里夫人,141,"玛妮雅迟疑片刻,就拉住她姐姐的手, 一同很庄严地走出去 了",0.987,正面
居里夫人,142,"五岁的小小年纪玩打仗,是不容易的;这个小女孩的气力已快 用尽,所以她也并不那么不愿意离开战场",0.9739,正面
居里夫人,143,"隔壁屋里, 一个柔和的 声音正在用一连串亲昵的名字叫她: 玛妮雅玛妞希雅我的安秀佩希欧 波兰人极喜欢用爱称",0.9997,正面
居里夫人,144,"斯可罗多夫斯基一家的人,总是用素 希雅代替大女儿的名字苏菲,用布罗妮雅代替布罗妮施拉娃, 海伦娜成了海拉,而约瑟夫就成了约齐欧",0.9997,正面
居里夫人,145,"但是谁也没有这一 家最宠爱的小女孩玛丽亚的名字多,玛妮雅是普通的爱称,玛 妞希雅是一个表示亲昵的名字,安秀佩希欧是她在摇篮里的时 候叫起的滑稽绰号. 我的安秀佩希欧,你的头发多乱!你的脸多红啊! 一双极苍白极消瘦的纤巧的手,把围裙上散了的带子重新系 好,拢好短短的馨发,使它不再遮住这位未来大学者的倔强脸庞",1.0,正面
居里夫人,146,这个小女孩慢慢地感觉轻松了,0.9793,正面
居里夫人,147,玛妮雅对她母亲怀有无限的爱,0.9999,正面
居里夫人,148,"她觉得世上再没有人象她母 亲那样娴雅,那样善良,那样聪明 斯可罗多夫斯卡夫人是一个小地主家庭的长女,她的父亲菲 力克斯 柏古斯基是一个略有田产的小贵族;这种人在波兰很多. 他靠自己的田产度日极为困难,不得不替比他更有权势的人家管 理田产,他的婚姻是浪漫的:他爱上了一个门第比他高可是没有 财产的贵族少女,不顾这个美人的父母的反对,把她带走秘密地结 了婚",1.0,正面
居里夫人,149,"岁月流逝 这个引诱者已经成了胆小而且怕冷的老人, 他所爱的女子也成了脾气暴躁的祖母. 在他们的六个子女中,斯可罗多夫斯卡夫人的确最端正而且 最聪明",0.9998,正面
居里夫人,150,任何斯拉夫民族的怪癖都不能使她减色,0.8517,正面
居里夫人,151,"她不好空想, 镇定,而且有节制,她在华沙弗瑞达路的一所学校里受过很好的教 育",0.9994,正面
居里夫人,152,"因为她决定献身于教育事业,就在母校当教师,后来成了这所 学校的校长",1.0,正面
居里夫人,153,"1860年,乌拉狄斯拉夫 斯可罗多夫斯基教师向她 求婚,他真是选着了一个才德俱全的妻子",0.9326,正面
居里夫人,154,"她没有钱,但是出身很 好,虔诚而且积极,她有确定的前途",0.9075,正面
居里夫人,155,"她还是一个音乐家,能弹钢 琴,并且能用一种悦耳的娇弱声音唱当时流行的浪漫曲 说到最末了,她很美;从她结婚时照的一张精美的照片上,我 们可以看见她那秀丽的脸,简单地编成辫子的光滑浓发,弯弯的娥 眉,象埃及人那样长而秀丽的一双灰色眼睛,眼神显得平和谨慎",1.0,正面
居里夫人,156,"他们的结合,正是一般人所说的美满婚姻",0.9754,正面
居里夫人,157,"斯可罗多夫斯基 这一家,也是那些由于波兰国家的厄运而衰落的小贵族之一;他们 这一族的发祥地是斯克洛第,这是一些农庄的总名,在华沙北边约 一百公里;几个祖籍斯克洛第的人家,彼此联姻,都以斯可罗多夫 斯基为姓氏",0.9961,正面
居里夫人,158,"按照通行的习惯,当地的封建贵族地主从前是允许 分成制佃农们使用他的家徽的权利的",0.201,负面
居里夫人,159,这些人家当然是以耕种为生,0.539,中性
居里夫人,160,"但是经过了一些多灾多难的时 期,他们的收获都逐渐减少,财产都逐渐消散",0.8787,正面
居里夫人,161,"在十八世纪的时候, 分成制佃农,这种农民同地主按比例共分土地总收获物",0.9998,正面
居里夫人,162,"乌拉狄斯拉夫 斯可罗多夫斯基的直系祖宗有几百公顷地,可以 过安乐的生活;他的子孙有几代也过着富裕的农家日子,可是到了 这位年轻教师的父亲约瑟夫这一代,情形就不同了",1.0,正面
居里夫人,163,"约瑟夫希望 改善他那不宽裕的家境,并且显扬他那引以自豪的姓氏,就弃农 就学",0.9092,正面
居里夫人,164,"战争和革命使他过了一个时期富于戏剧性的生活,后来就 在卢布林这座重要城市当上了一所男子中学的校长",1.0,正面
居里夫人,165,他是这一家 的第一个知识分子,0.4768,中性
居里夫人,166,"柏古斯基和斯可罗多夫斯基两家人口都多,前者有儿女六个, 后者有儿女七个;其中有几个是农民和学校教员,有一个律师和一 个修女还有几个是天性古怪的人",1.0,正面
居里夫人,167,"斯可罗多夫斯卡夫人有一 个弟弟,叫做亨利克 柏古斯基,他是一个不可救药的文艺爱好者, 自信有天分能从事这种需要天才的危险事业",1.0,正面
居里夫人,168,"斯可罗多夫斯基 教师也有一个无忧无虑的兄弟,叫做斯德齐斯拉夫 斯可罗多夫 斯基,活泼而且大胆,在圣彼得堡上过学,在波兰起义中当过兵, 亡命到图卢兹的时候,成了普罗旺斯的诗人,回到本国之后, 当了地方法院的书记官;他永远是盛衰不定",1.0,正面
居里夫人,169,"这两家,性格浪漫的人与稳重的人都有,有见识的人与好冒险 的人并存",0.9992,正面
居里夫人,170,"玛丽 居里的父母,都是有见识的人",0.9839,正面
居里夫人,171,"父亲学祖父的榜样,在 圣彼得堡大学研究高深的科学,后来回到华沙教数学和物理学",1.0,正面
居里夫人,172,"母亲把一所收寄宿生的女校办得很成功,城里最好的人家都把女 儿送到这所学校来",0.9979,正面
居里夫人,173,"这一家在弗瑞达路她办的学校里住了八年, 波兰起义:波兰亡国有一百三十年,其间在1795年、1830年、1848年、1863 年、1905年,都曾有大规模的革命运动发生,这些运动由于没有真正的革命阶级来领 导都失败了,但是革命的传统为后来解放斗争打下了基础",1.0,正面
居里夫人,174,"图卢兹,法国南部城市",0.8027,正面
居里夫人,175,"普罗旺斯诗人:普罗旺斯是法国东南部古州名,从第十一到十三世纪,这里 产生了一派浪漫的抒情诗人",1.0,正面
居里夫人,176,"他们住在二楼,住房向着院子,窗户间有精巧得象花环的阳台,每 天早晨当这位教师迈出卧室的时候,前面的屋子里已经有女孩子 闲谈的声音,她们在等着上第一堂课",0.1003,负面
居里夫人,177,"但是,到了1868年,乌拉狄斯拉夫 斯可罗多夫斯基被任为诺 佛立普基路那所中学的教师兼副督学,他的妻子就不得不适应新 环境了",0.9936,正面
