科学家,句子编号,句子,情感得分
丽丝·迈特纳,135,"28 这样一来,排斥的循环就被逆转了",-1.0
丽丝·迈特纳,162,"我有一种感觉,在开始时,当起初是我姐姐,然后是我,都 通过Matura 考试时,我母亲的内心深处是对此事有点失望的",-0.8
丽丝·迈特纳,170,"他的外甥后来评论说,她是一 位兰袜子一位除了学习以外对什么都不关心的青年女 士",-1.0
丽丝·迈特纳,178,然而 外国人把不通人情世故、不关心修饰的女学者称为兰袜子,-1.0
丽丝·迈特纳,179,"-译 者注 13 我在找到错误以前需要他帮了好大的忙,而当他好心地建议我用 自己的名义发表这种结果时,我觉得那样作是不对的,而这就很 不幸地永远得罪了他",-1.0
丽丝·迈特纳,197,"这件事是那样地声 名远扬,以致维也纳报纸《工人报》有一次登载了一条消息:又 一次, 一位学生在玉米街上的物理系注了册,据说他这一行动的 动机是由于恋爱上的不幸",-1.0
丽丝·迈特纳,207,"在对待盖根包尔教授的问题上,她显然曾经显得 很笨拙,然后又为自己的笨拙而感到困惑;她不愿意被别人 另眼看待,她必须首先使自己相信能像任何别人一样当一个 大学生",-1.0
丽丝·迈特纳,209,"好 在学科是困难的,只有很少人选习它",-1.0
丽丝·迈特纳,228,"我记 17 得特别清楚的是,当描述分子运动论时,他怎样告诉我们他由于 确信了原子的实际存在而遇到了多么多的困难和反对,以及他受 到了来自哲学方面的什么样的攻击而并不永远明白哲学家们所 反对的是什么当我想起他是怎样抱怨物理学课题的巨 大广度和由此而来的过分玄想时,我真不知遒他会对我们的大机 14 器和团体工作方式说什么",-1.0
丽丝·迈特纳,238,"55无论如 何,她在上大学的那几年中没遇到她从前遇到的那些障碍和 她后来遇到的那些困难",-1.0
丽丝·迈特纳,255,"不过他在1888年却谢绝了到柏林去当教授 的邀请;这一方面是出于对他的健康的考虑,而另一方面据 说是因为他不喜欢普鲁士首都的那种讲求形式的风气",-1.0
丽丝·迈特纳,260,"马赫的动机 是反形而上学的,这是对把全部物理学归结为力学原理的那 些19世纪尝试的一种反应;他反对以分子的运动作为基础的 分子运动论,而且用维也纳式的德语否认了原子的存在:你 看到过任何一个原子吗?按照玻耳兹曼的说法,在上世纪 的90年代中,人们对待气体理论的态度是恶毒的67,充满 了议会式的愤怒争论,为了青年科学家的忠诚而进行的斗争 和为了人员的任用和刊物而进行的战斗",-1.0
丽丝·迈特纳,269,"心里想着他的前任,玻耳兹 曼自称他不喜欢,甚至痛恨哲学;他把哲学比喻成一块 空荡荡的处女地[它]将一直是荒芜的,只要它否认物 理实在的存在",-1.0
丽丝·迈特纳,316,"但是,假如丽丝也知道玛丽在 巴黎遇到的那些巨大的职业困难,以及诺贝尔奖给这些困难 带来的缓解是多么地微不足道",-1.0
丽丝·迈特纳,321,"85对一个女子来说,科学的道路上有着一 24 1000000000 些巨大的、也许是不可逾越的障碍",-1.0
丽丝·迈特纳,355,"为了理解 粒子的本性和它们所通过的物质的本性,问题是很有兴趣 的;卢瑟福已经指出,散射很明显地表明了一个事实,即 物质的原子肯定是很强的电场的所在之处",-1.0
丽丝·迈特纳,371,"她没有听说过他的量 子理论,尽管那种理论在1900年已经发表,而且她对柏林几 乎一无所知,甚至不知道妇女仍被排斥于普鲁士各大学之 外",-1.0
丽丝·迈特纳,384,"大学位于许多文化建筑之间;这种位置很足以表示它 对妇女的排斥,因为她们被期望的是去充当母亲、Hausfrau (女管家)和家庭教师之类的指定角色,她们要有德行,但其 教育程度则可以低于欧洲其他地方的妇女教育程度",-1.0
丽丝·迈特纳,388,"因此她的反应就是一种极端的保守,她 自己描述说那接近于见了人就害怕",-1.0
丽丝·迈特纳,405,"一些答复者哀叹了育儿室和厨房中妇女地 位的日耳曼理想,以及相反地那些无性别的有学问妇女 (gelehrte Frau) 的讽刺形象;有几个人指出,既然男人不反 对妇女们在工厂中工作,他们对职业中的妇女的反对就肯定 是害怕竞争",-1.0
丽丝·迈特纳,415,"也许他在她那痛苦的羞怯中看到了促使 她来找他的那种决心;他一定感受到了她是多么地不习惯,从 而就请她去了他家",-1.0
丽丝·迈特纳,417,"然而在普朗克的讲课中,我起初却必须克 服某种失望的感情玻耳兹曼曾经是满怀热情的而且他 并不避讳用一种非常个人的方式来表达这种热情在这种背 景上,普朗克的讲课,尽管异常地清楚,起初就显得有点非个人 化,几乎是枯燥的",-1.0
丽丝·迈特纳,423,"哈恩和我同岁,而且在态度上非 常随和,从而我就觉得我可以毫不迟疑地向他请教我必须知道的 27 一切问题",-1.0
丽丝·迈特纳,461,"化学研究所是完全禁止妇女入内的:爱弥 耳 菲舍尔曾经有过一个有着外洋发式的俄罗斯学生,他 害怕妇女们会使她们的头发着起火来",-1.0
丽丝·迈特纳,472,"虽然没人怀疑粒子是高能电子,但 是关于这种粒子的几乎每一个问题都是相当不清楚的,其中 包括它们在发射能量和它们在各种物质中被吸收的方式",-1.0
丽丝·迈特纳,506,"人们几乎肯定可以排除机会主义作为丽丝转教之动机 的可能性,她在职业上受到性别问题的很大排斥,以致宗教 并没能起多大作用",-1.0
丽丝·迈特纳,533,"不管他多么可爱,哈恩在优先权问题上却 是可以咄咄逼人的,这也许是一个化学家在由物理学主导的 按 她 的first name 即丽丝是女子的名字,而卢瑟福仍然误会了",-1.0
丽丝·迈特纳,565,"虽然丽丝是和自由维也纳的民主理想一起长大的,但是 她对德国的问题却很少注意,甚至对当时很重要的为妇女在 受教育和选举权方面的平等而进行的斗争也很少注意",-1.0
丽丝·迈特纳,586,"在和杰姆斯 弗朗克的交往中,这样的障碍是不存在的",-1.0
丽丝·迈特纳,590,他们在五十多年的友谊中从来没有一次互相 感到过失望,-1.0
丽丝·迈特纳,632,"更加困难得多的是她的缺少位置,即她对任何地方都 不适合这一事实;她是一种永久性的双重特例: 一个女子又 是科学家,一个科学家又是女的",-1.0
丽丝·迈特纳,634,"在她父亲于1910年逝世的不久以后,她写信给一位朋友说: 有时我缺乏勇气,那时,我的生活及其巨大的不安全性,那 种不断重复的担心,作为一个特例的那种感觉,那种绝对的孤独, 就会使我觉得似乎是无法忍受的",-1.0
丽丝·迈特纳,635,而使我最感沮丧的就是我的当 前生活方式的这种可怕的唯我主义,-1.0
丽丝·迈特纳,640,这也许就是一切孤独中最坏的一种孤独,-1.0
丽丝·迈特纳,664,然而这并不是他们唯一的烦恼,-1.0
丽丝·迈特纳,674,沉积并不总是成功的,-1.0
丽丝·迈特纳,692,"事实上,衰变将被证实为更加复杂,更加 困难得多,而且归根结蒂是比任何人所起初想像的更加说明 问题得多:它将导致对原子核的深刻洞察",-1.0
丽丝·迈特纳,697,"迈特纳进行了工作来跟上进步;她和哈恩一 起作了关于钍的活性沉积物中的辐射的工作,88和杰姆斯 弗朗克一起作了关于气相放射性离子的工作,而自己也作 了关于电化学分类表的工作0和关于钍的衰变沉积物中的分 支现象这一困难问题的工作",-0.3333
丽丝·迈特纳,702,"这种需要来自各门科学的迅速扩大, 以及科学家们同时表示出来的对各大学不能迅速引入新的重 要研究领域的那种情况的担心",-1.0
丽丝·迈特纳,729,"最 大的可能是向新的威廉皇帝化学研究所的迁人强调了迈特纳 的地位上的不平等;也许,随着她父亲在1910年的逝世,普 朗克担心经济的困难会迫使她返回维也纳",-1.0
丽丝·迈特纳,737,"倾向于因一种负疚的良心而痛苦的我,现在是一个 连最小的负疚感也没有的物理学家了",-1.0
丽丝·迈特纳,787,"在他们那些宽敞的实验室中,丽丝和奥托开始了一个复 杂的计划;这是一种由于它的复杂和由于缺乏强放射性而变 得很困难的计划:锕元素的直接上代(即母物质)的寻求",-1.5
丽丝·迈特纳,792,"正如迈特纳和哈恩所看到的 那样,问题就在于,要找到形成钢系之起点的那种物质, 并确定钢是不是通过和通过什么中间物而被派生出来",-1.0
丽丝·迈特纳,795,"不确定的东西总 是比肯定的东西多:各个衰变系是不完全的,化学性质常常 是有问题的;包括铀在内的某些物质衰变得如此缓慢以致它 们被错误地认为是无辐射的,另一些物质则衰变得如此之 快以致很难提纯它们,而且不能了解它们的化学性质;化学 上似乎相同的放射性品种(放射性钍和钍,镭B、锕 B 和铅, 等等)的逐渐增长的名单还没有任何解释;谁也不知道应该 预期在铅和铀之间有多少种元素或它们的化学性质可能是怎 样的,或是周期表能否被绝对地相信 -相当讨厌的稀土元 素并不能很好地排入周期表中而是单独分了组",-1.15
丽丝·迈特纳,837,"2这个具有基本重要性和巨大困难的 问题,将被迈特纳并被卢瑟福集体中的成员们研究许多年",-1.0
丽丝·迈特纳,865,代替了战争的曾经是40年 69 速 的动荡;经济对抗、巴尔干各国的多次麻烦、敌对的联盟和 日益增强的军备竞赛,-1.0
丽丝·迈特纳,898,"在鲁勒本,人们受到了寒 冷、极端拥挤(六个人挤在容纳两匹马的马棚中)和坏食物 的折磨;在迈特纳、普朗克、鲁本斯以及另一些人的干预下, 查德维克可以偶然接受探视,甚至得到一些科学仪器,但他 直到战争结束时一直是一个犯人,艾利斯在鲁勒本和查德维 克的相处,使他改学了物理学",-1.0
丽丝·迈特纳,900,"在本世纪20年代中,艾利 斯和迈特纳保持了一种活跃的同道关系,因为他们作的是关 于谱的同类问题的工作",-1.0
丽丝·迈特纳,908,"他在1914年9月间写道:[德国 人]责备奥地利还没有打败俄国人;您对这种责备进行了反 驳,保卫了我们,这是很可感谢的",-1.0
丽丝·迈特纳,915,"国际社会强 烈地抗议了德国对比利时中立的侵犯、它对平民的暴行和对 文化珍品的破坏,德国人感到了痛苦惊讶:在他们看来,战 争纯粹是防御性的",-1.0
丽丝·迈特纳,921,"维耳斯台特得出结 论说,受过教育的德国人,包括他自己在内,在作为公民的 责任方面悲惨地失败了",-1.0
丽丝·迈特纳,923,"12月间,奥托 哈恩正在比利时艰苦作战",-1.0
丽丝·迈特纳,926,"最后她在 1914年12月写信去说:我在10天前就听说了,但是我不能 强迫自己给您写信,因为我根据它影响您的方式知道这会使 您大大伤心",-1.0
丽丝·迈特纳,937,"她对奥托保证说:[我]能 清楚地理解您的悲哀,但是您肯定是有理由当一个机会主 义者的",-1.0
丽丝·迈特纳,941,"481915年4月, 先驱团被送到了加利西亚,在那里用氯气和光气的一种强 力混合物对付了俄国士兵,造成了很大的痛苦和伤亡",-1.0
丽丝·迈特纳,942,"虽然 哈恩因为垂死的俄国人的痛苦而受到了震动,但是他留在先 驱团中,作了毒气的制造和使用技术的实验,直到战争结束",-1.0
丽丝·迈特纳,945,"作为一个 参加者,他被吓坏了,然后他就压下了他的恐惧,这在当时 也许是必要的",-1.0
丽丝·迈特纳,953,"2在她的信中,丽丝轮流充当姐妹、朋友和同事,告诉他 朋友们的情况,当他没有来信时就责备他,计划在前线给他 59 庆祝36岁的生日,53而且永远详细地告诉他她在他们的研究 中正在取得的进展",-1.0
丽丝·迈特纳,971,伤员的痛苦使她感到震惊,-1.0
丽丝·迈特纳,980,"今天我们截掉了很年轻的匈牙利人的一条腿,这 使我难过得不能对他讲任何的话一个青年波兰人平静地对 我说,我知道我会死的,而他真死了",-1.0
丽丝·迈特纳,989,"我巳经作了200多次X 射线诊断外科大夫 告诉我,通过确诊为膀胱疝气而不是大夫们起先想像的那种胃受 伤 ,X 射线至少已经救了一个伤员的命这至少是很困苦的生 活中的一点慰藉",-1.5
丽丝·迈特纳,994,"他们大多是好脾气而 有耐性的人,对病人十分体贴当然了解他们是很困难的",-1.5
丽丝·迈特纳,996,匈牙利语甚至更加困难,-1.0
丽丝·迈特纳,1004,"我不认为 我的体重会有50公斤[即110磅],但我毕竟不是到这里来发胖 的 当不需要X 射线时,我就在手术室中帮忙 我甚至作过 我不喜欢的麻醉工作,而且我也是本医院的机械师",-1.0
丽丝·迈特纳,1035,"如果我不 会受到阻碍,我将设法工作",-1.0
丽丝·迈特纳,1049,他们放弃了它而转向了他们在1914年初第一次从沥 青矿中分离出来的硅残余物,-1.0
丽丝·迈特纳,1054,"最 大的困难也许是,学生们、助手们和技师早已消失在军队中 了",-1.0
丽丝·迈特纳,1063,"亲爱的哈恩先生!沥青矿实验当然是重要 的和有兴趣的,但是我不能现在就作它-一请不要生气我已 经订购了用于我们的铜实验的[铂质]器皿 而且它们一到我 就会开始实验昨天我召开了一次座谈会",-1.0
丽丝·迈特纳,1064,"我想到了您,并且 64 大声地而且面对着听众而不是面对着黑板讲了话,尽管在黑板显 得比听众更有吸吸力的情况下愿您保重,请千万别为沥青矿 实验的延期而生气",-1.0
丽丝·迈特纳,1076,"将HF 溶液过滤、煮一煮,然后在沸腾的浓硫酸中汽化 到干燥--在涉及热浓酸的所有困难步骤中,这是最不好受 的一步;这时剩下一种固态物质,当在浓硝酸中反复地煮时 就几乎完全溶解",-1.0
丽丝·迈特纳,1102,"我听 到此事十分难过,丽丝写道,而后就没再提起",-1.8
丽丝·迈特纳,1103,"也许她觉得 没有权力表达自己的悲哀,在三年的战争以后不应该向哈恩 表达,在他失去了两个孩子以后不应该向普朗克表达;普朗 克的长子卡尔在一年以前在法国阵亡",-1.0
丽丝·迈特纳,1105,丽丝的信是这样结束的:您用不着担心别人的准钽实验,-1.0
丽丝·迈特纳,1117,"但是基塞耳的矿石却稍有不同,从而 以前的方法没能成功",-1.0
丽丝·迈特纳,1118,"到了7月底,丽丝生气了",-1.0
丽丝·迈特纳,1121,"很不幸,正如您 能看到的那样,我并不是处于不给您写信的那种狂喜的位置上",-1.5
丽丝·迈特纳,1123,"因此,为了不冒犯明间之神,我将立刻谈到 正题 我带着某种无根据的乐观主义试着分离了43克基塞耳 的制备物 A, 工作似乎很顺利,但是结果却不很满意",-1.5
丽丝·迈特纳,1153,"此外,他们不得不放弃他们的铂容器,而 你当然不能在铅容器中煮沸硫酸",-1.0
丽丝·迈特纳,1174,"不过,在 钢系中却有一个困难,即不论是AcX 还是放射性铜都不对应,从 而你就得到两个斜率,取决于何者是不正规的",-1.0
丽丝·迈特纳,1200,"在此以前,丽丝 迈特纳几乎没有 告诉斯忒藩 迈耶尔任何消息,现在她急忙把实验细节告诉 了他,并且请他在命名的问题上给予建议",-1.0
丽丝·迈特纳,1201,他很快活地答复 说:你提出了一个困难可怕的问题,-1.0
丽丝·迈特纳,1222,"将军们仍然继续作战,欺骗着自己和他 们的国家,浪费着生命",-1.0
丽丝·迈特纳,1225,"那年6月间,奥托受到了一种衰弱的折磨,可能是 一种轻度的硫酸氯中毒,被送到一个军事医院中去休养",-1.0
丽丝·迈特纳,1228,丽丝从来没有抱怨过缺少食物;只有她的感谢显示了 她的饥饿,-1.0
丽丝·迈特纳,1250,"现在,当我试图讨论你的来信中的某些问题时,请记住我曾 一直有很强的民主倾向我当然能够理解你个人是由于德国 贵族特别是那些Hohenzollern 的消亡而生气",-1.0
丽丝·迈特纳,1256,"98 迈特纳的政治是坚定的社会民主主义;她不同意伊莉莎 白那种上层阶级的对民主的厌恶,也不同意功成名就的学者 们因王朝及帝制德国的消失而感到的那种普遍的沮丧",-1.0
丽丝·迈特纳,1265,"那年冬天,卡尔 李卜克内西和罗 莎 卢森堡被捕,然后被杀害了,革命失败了, 一个新的德 意志共和国成立了",-1.0
丽丝·迈特纳,1280,"98 ( 第 四 章 76 威廉皇帝研究所中的教授 我们花了几个钟头用问题来轰击玻尔,他永远充满了大 度和很好的幽默,而在吃午饭时,哈伯就试着给他解释了 Bonze (巨头)一词的意义",-1.0
丽丝·迈特纳,1281,"1919年的德国是分外残破的:打败了,分裂了,贫困而 可怜",-1.0
丽丝·迈特纳,1288,"对于德国人来说还有另一种恐惧,即凡尔赛和约的苛刻 条件或许会使恢复成为不可能",-1.0
丽丝·迈特纳,1292,"战争带来了不幸,但和平却是一次大灾大难,而且政府 因此而受到了责备",-1.0
丽丝·迈特纳,1297,"对于丽丝 迈特纳来说,这 些扰乱是相当令人丧气的,这不仅仅是因为我们没有 气、没有电甚至有时没有水而更多地是因为普遍的局势 使我又一次担心起国家的健康来",-1.0
丽丝·迈特纳,1317,"迈特 纳没有和哈恩共同获奖这一事实似乎困扰了哈恩,但却没有 困扰迈特纳",-1.0
丽丝·迈特纳,1331,"研究历史问题,最见功夫的就是研究者的史识",-1.0
丽丝·迈特纳,1336,"她能够记得哈恩的作用胜过记得她自 己的作用,把她的紧张的而且往往是孤独的工作岁月消解成 一种科学同志的手挽手的偶然探索",-1.0
丽丝·迈特纳,1343,"而且,如果对物质的本性 还理解得很少,喏,那种问题最好是留给化学家们",-1.0
丽丝·迈特纳,1389,"哈恩和迈特纳寻索了这些产物,但是没发现任何东西",-1.0
丽丝·迈特纳,1448,"由此,迈特纳提出了别人不曾充分考虑过的一 个问题:次级电子是来自母元素呢还是来自子元素?在迈特 纳看来很显然的是, 一个衰变电子一旦离开了核,母原子就 不再存在了,而后来的一切事件就都是在子原子中发生的了",-1.0
丽丝·迈特纳,1459,"3这就是在战时和杰姆斯 查德维克一起被拘 留在鲁勒本的那同一个艾利斯,他已经放弃了炮兵军官的职 业而改学了物理学,而现在他和查德维克都在剑桥的卢瑟福 那里工作了",-1.0
丽丝·迈特纳,1472,"从一开始,连续谱就带来 了一个两难问题: 一些等同的核怎么可能发射具有连续变化 的能量的电子而仍然产生等同的子核?这种观念和原子的量 子概念相矛盾,而且违反热力学第一定律",-1.0
丽丝·迈特纳,1477,"6 艾利斯批评了迈特纳的数据并重作了她的ThB 谱实验, 得到了稍许不同的结果",-1.0
丽丝·迈特纳,1489,"在查德维 克认为照相底片虚假地集合了分立谱线的同时,52迈特纳却 认为查德维克的实验装置太不精确,不足以分辨相距很近的 谱线:她指出,个体的谱线永远由于电子的碰撞而有些不均 匀",-1.0
丽丝·迈特纳,1491,"5她对连续谱的 攻击一部分是批评, 一部分是否认,在发表之前就通知 了查德维克,而查德维克则当迈特纳到维也纳度假时用一种 转弯抹角的方式把他的反驳意见告诉了哈恩",-1.0
丽丝·迈特纳,1498,"关于由卢瑟福集体中的 115 丽丝 迈特纳 别人所作的实验,即使当它们很难诠释时,艾利斯也沉重地 回答说他的数据肯定是上等的;他的厌恶理论化正是卢瑟福 90 及其合作者们的典型特征",-1.0
丽丝·迈特纳,1527,"然而,到了1923 年,她却意识到她必须解释这个问题,或者至少是讨论这个 117 A 问题了",-1.0
丽丝·迈特纳,1540,"0 既已又一次使自己很满意地解释了连续谱,迈特纳就 回到了使她最感兴趣的问题:之后是Y的衰变顺序问题",-0.1667
丽丝·迈特纳,1543,"1924年春天,她又研究了镭(226Ra) 的谱,这在技术 上是最困难的谱",-2.5
丽丝·迈特纳,1547,"尽管如此,实验也并不是一次完全的失败",-1.0
丽丝·迈特纳,1556,"你可以避免这种困难,只要承认一切的Y辐射都 是跟在衰变后面的,从而一切次级电子都是来自子原子 的",-1.0
丽丝·迈特纳,1567,"我们曾经在一个问题上有过相当的麻烦,那就是, Y 射线是否有时会像我从卢瑟福和安德雷德的结果中推测的那样 领先于蜕变,或者说您所提出的关于蜕变永远首先发生的更加简 单的观点是否正确",-1.0
丽丝·迈特纳,1571,"我很高兴这就消除了我们之间的一个有争议的问题 (Streit- frage), 但是另一个关于连续谱的本性的问题却仍然存在连 续谱确实提出了一些很困难的问题,因为我无法看出例如康普顿 散射、特征辐射的激发或一般辐射的发射这样的次级效应怎能产 生一种足够大的效应情况或许可以总结如下:我们都同意, 一旦蜕变电子到了母原子外面,它们的速度就已经是不均匀的 了",-1.125
丽丝·迈特纳,1586,"这个小男孩如此美妙地来到,而且没有给他 妈妈带来困难,这实在使我高兴我给她一个吻,并衷心 地向你致候",-1.0
丽丝·迈特纳,1595,"和Naturwissenschaften(《 自然科学》杂志)的有高 度文化的编者阿诺耳德 柏林诺一起,她会讨论音乐和现代 物理学;和普朗克一起,她会讨论一切问题",-1.0
丽丝·迈特纳,1599,"虽然她绝没忘记她那困难的开始,而且有 时也重新兴起那种不安全感",-1.0
丽丝·迈特纳,1614,"90 在一种半失望、半取笑的精神下,我们决定邀请玻尔到达勒 姆来待一天,但是在活动中不许已经是教授的物理学家们参加",-1.0
丽丝·迈特纳,1618,"相反地,他邀请 我们去了他的住宅 你们想必记得,那是德国战败以后的一个 非常困难的时期,从而找到吃的东西在达勒姆是相当困难的",-1.65
丽丝·迈特纳,1620,"我们花了几个钟 头用问题来轰击玻尔,他永远充满了大度和很好的幽默,而在吃 午饭时,哈伯就试着给他解释了 Bomze ( 巨 头 ) 一 词 的 意 义",-1.0
丽丝·迈特纳,1631,冬天的日子将很难过了 我们在研究所中和在家中都已经冻得够呛了,-1.5
丽丝·迈特纳,1638,问题就是 要得到足够的铀以便提炼测量 Y吸收所必需的强 UX 制剂; 丽丝和奥托用了几个月的时间到各工厂中去请求捐助,-1.0
丽丝·迈特纳,1647,"我不认为我们必须为共 产党人而担心,但是总地来说情况看来是很糟的",-1.0
丽丝·迈特纳,1675,"1924年,局势已经足够改善,使迈特纳和哈恩可以集中精力 来进行在技术上很困难的镭研究了;到了1924年6月,谱 和迈特纳的分析已经完成了",-0.25
丽丝·迈特纳,1705,"问题似乎出在玻尔理论的内在矛盾上; 沿轨道运行的电子是经典地加以处理的,只除了随意地加上 个外来的量子条件",-1.0
丽丝·迈特纳,1720,"包含在测不准 原理中的限制,在有关观察者对所观察的对象的影响方面带 来了深刻的问题",-1.0
丽丝·迈特纳,1723,"正如物 理学家维克托 外斯考普后来回忆的那样,科学史上很少有 这样一个时期,那时那么多的问题被那么少的人在那么短 的时间内所澄清",-1.0
丽丝·迈特纳,1734,"这是一种困难的工作,因为电子 是很容易受到散射的",-1.0
丽丝·迈特纳,1755,迈特 纳(事实上是所有和理论联系得很密切的人们)受到了深深 的困扰,-1.0
丽丝·迈特纳,1756,"2问题是那样的重要,以致迈特纳觉得重作实验并不 是多余的",-1.0
丽丝·迈特纳,1761,然而问题是具有基本重要性的,-1.0
丽丝·迈特纳,1776,有问题的是能量守恒原理,-1.0
丽丝·迈特纳,1780,"她放弃了,并在自己的量热 学论文的结尾处写道:相当肯定的是镭E 并不具备其能量 将补偿初级辐射之不均匀性的任何连续Y谱",-1.0
丽丝·迈特纳,1785,128 连续谱只是和核中的电子相联系着的许多问题中的一 个,-1.0
丽丝·迈特纳,1786,"12那些问题全都是最令人困扰的,因为核中的电子似乎对 衰变以及对核电荷来说都是必需的",-1.0
丽丝·迈特纳,1815,"他的中微子并没有解决核内电子的其他问 题,包括由测不准原理引起的问题",-1.0
丽丝·迈特纳,1817,"133十年的谱工 作显示了问题,但是问题的解在当时却还完全没有露面",-1.0
丽丝·迈特纳,1839,"特别说来,核中的电子问题正在向那些完全在核 以外的地方起作用的理论发动着大破坏",-1.0
丽丝·迈特纳,1840,"然而,理论问题的 严重性绝没有成为一种使人泄气的影响,而却使那几年成了 实验方面的一个辉煌的时期:看样子似乎某种新的东西恰恰 必须出现,那就会一举而使各种困难迎刃而解",-0.3333
丽丝·迈特纳,1857,"这样,核的成分问题就似乎已经解决了: 一个质量 为A 而电荷为Z 的核含有A 个质子以得到其质量并含有 A -Z 个电子以使电荷降为Z",-1.0
丽丝·迈特纳,1874,"6 无论如何,当时只有在少数几种轻元素中,诱发人工核 反应才是可能的:钾以后的元素永远在俘获能够发生以前就 排斥和散射粒子",-1.0
丽丝·迈特纳,1921,"在此期间,关于亚原子粒子可以穿 透核势垒的这种想法,在伽莫夫的1928年的衰变理论中得 到了一种不同的表达;表述一种与此有关的衰变理论的尝 试是不成功的",-1.0
丽丝·迈特纳,1943,"37 由此,他们估计太阳的最低年龄为10年,而也带来一些 新的问题",-1.0
丽丝·迈特纳,1959,"1929年,迈特纳评述了这 一领域,特别是困惑了物理学家们许多年的宇宙辐射的起源 问题",-1.0
丽丝·迈特纳,1975,"作为一个实际问题,重要的是要知道克莱 恩-仁科公式是否比旧公式更适用和高能光量子(光子)相联 系着的很短的波长;更加基本地说,对克莱恩-仁科公式的一 次检验也就是对狄喇克新理论的一次隐含的检验",-1.0
丽丝·迈特纳,1983,"这种论点通过宣称克莱恩佯谬为不可能而解决了这一 佯谬,但是它却提出了一些新问题",-1.0
丽丝·迈特纳,1987,"狄喇 克想,那些空穴可能是质子,但是质量的差别造成了很大的 困难",-1.0
丽丝·迈特纳,2003,"48 事实上,汉斯 盖革和威廉 缪勒刚刚制成的这种新计 数管是那样地灵敏,以致当迈特纳要求一位学生试试它时,那 学生竟然抱怨说来自旁边一间房子的杂散辐射影响了他的测 量",-1.0
丽丝·迈特纳,2051,"但这只是一种设想,是一种避开和核中的自由电子 有关的那些困难的一种尝试",-1.0
丽丝·迈特纳,2052,"过了十年,他们还缺少关于 这些问题中的任一问题的有说服力的证据,因为我们如果有 也几乎没有关于核的内部结构的确切知识来指导我们",-1.0
丽丝·迈特纳,2080,"63 工作是集中在中子的鉴定这一本质问题上的:中子本来 就是一个基本粒子呢,还是结合得很紧的质子-电子组合体? 这个问题对理解核来说是有关键意义的,因为一个基本性的 中子将解决和核内的电子相联系着的那些大问题,而一个组 合性的中子则不行",-1.0
丽丝·迈特纳,2083,"对鉴定问题的一种更加决定性的处理方式就是测定 128 它的质量:如果它小于1.0078原子质量单位(一个质子加一 个电子的质量),则中子很可能是组合体,被它的质量亏 损所稳定化;如果它大于此值,则中子必然是基本粒子",-1.0
丽丝·迈特纳,2087,"65 这个问题成了1933年10月22- 29日在布鲁塞尔召开 的第七届索耳威会议上的强烈争论的主题,全议的总主题是 原子核的结构和性质",-1.0
丽丝·迈特纳,2097,但是基本中子对组合中子的问题当时却仍 未解决,-1.0
丽丝·迈特纳,2099,"一个基本的中子可以排除核内电 子的问题,但是却带来了它自己的一些理论问题;出现了一 些需要解释的新的质子磁性值,而且还有没得到解决的衰 变的起源问题",-1.0
丽丝·迈特纳,2100,"起初并没有必然的依据来采取一种型式的中 子而放弃另一种,于是理论家们就被推到了一种混杂的处理 方式",-1.0
