科学家,句子编号,句子,情感得分
居里夫人,195,"他们都是很谨慎的教师,总担心他们的小女儿智力发育过早,所以 每逢她伸手去拿屋里散乱地放着的大字书本的时候,就叫她作别 的事:你还是去玩木块罢你的洋娃娃在哪里?唱个歌给 我昕或是象今天这样:我看你最好到花园去 玛妮雅向她方才进来的那扇门看了一眼",-1.0
居里夫人,212,"在1872年,作为一个波兰籍俄国臣民而又属于这个敏感的、 容易冲动的知识界,真是不幸极了;他们中间酝酿着反抗的激烈情 绪,对于强加在身上的奴役,比社会上其他阶层的人们更感痛切",-1.0
居里夫人,214,"瓜分了这块不幸土地的德意志、俄罗斯、奥地利, 三度重新分配所得的部分",-1.0
居里夫人,216,"1831年的英 勇革命失败之后,沙皇尼古拉下诏宣布一些严厉的报复手段, 用来对付俄属波兰;爱国志士被大批监禁或放逐,他们的财产 被没收 1863年,进行了一次新尝试,结果又是一场新灾难;起义的 德意志、奥地利、俄罗斯在1772年、1793年和1795年三次瓜分波兰,在 最末一次瓜分之后,波兰完全灭亡. 1831年革命:十九世纪二十年代,在华沙有学生们组织的一个秘密团体,他 们受了法国1830年7月革命的影响,在1830年11月起义,占领了华沙,夺到军火 仓库,把市民武装起来,组织了新政府,并在12月召开了新议会,宣布推翻沙皇尼 古拉一世兼波兰王的统治",-1.0
居里夫人,218,"沙皇残暴地惩 罚了起义的人,有五千家被放逐到高加索,土地被没收,二百六十个学生被强迫编入 军队,三十个参加起义的妇女被强迫出家作修女.这次起义是完全失败了,失败的原 因是这次民族运动没有和农民运动结合起来,起义的人们是那时的资产阶级,他们不 愿把土地分给农民,因此得不到农民的支援",-1.0
居里夫人,221,"1863年革命:1863年1月,在波兰有十五个地方同时起义,1月末,在华沙 的波兰地下革命政府发表宣言,把地主的土地分给农民,同时发布总动员令,农民热 烈地参加游击队伍;但是这个政府大部分是由资产阶级组成的,他们害怕农民战争, 于是又取消动员令,叫农民回家;这个反动的办法减弱了起义的力量",-1.0
居里夫人,227,"这次悲剧之后,俄国用尽种种手段,企图使那不肯死去的波兰 服从",-1.0
居里夫人,230,"但是在敌对阵营里,也立刻组织了抵抗;那几次不幸的经验向 波兰人证明目前没有以武力争回自由的机会",-1.0
居里夫人,242,"昨天小巴金斯基全对我说了:这些孩子 知道伊凡诺夫的女儿患伤寒,他们恨这个校长,就做弥撒咒她死 假如那个可怜的神父知道了,他会因为承担了这样的任务而 六为失望的! 这件事使斯可罗多夫斯基先生很高兴;但是他的妻子是一个 比他更虔诚的天主教徒,不苟言笑",-1.0
居里夫人,270,"但是不幸得很,他是一个缺乏勇气的人 这个站在坐位旁边,用悦耳的声音有把握地背诵功课的女学 斯塔尼斯拉斯 奥古斯特 波尼亚托夫斯基(17321798),在1764年被选 为波兰王,设法改革波兰内政,但是已经太晚,1795年德、奥、俄第三次瓜分波兰,斯 塔尼斯拉斯退位,三年后死在圣彼得堡",-1.0
居里夫人,276,"坐在椅子上的这位教师,服饰也并不浮华,她那黑绸上衣和鲸 须领子,从来不是流行的式样;而安多尼娜 杜巴尔斯卡小姐也毫 不美丽,她的脸是迟钝、粗鲁而且丑陋的,不过很富于同情",-1.0
居里夫人,282,"不幸得很,他是一个缺乏勇气的人 这个不漂亮的教师,正在用波兰语教波兰历史;她和那些很听 话的儿童,都带着共同参加阴谋的人们的神秘态度",-1.0
居里夫人,293,"这个督学一语不发地看着这些学生,陪他进来的校长西科 尔斯卡小姐,站在他旁边,表面很镇静,也看着这些学生但是 她暗地里是多么忧虑不安呀!今天拖延的时间太短了看门人 刚刚发出约定的信号,霍恩堡就在引导者前头到了楼梯平台,进了 教室,天哪!都安顿好了么? 都安顿好了",-1.0
居里夫人,301,"而这二十五张孩子的脸突然都变老了,都带着一种隐藏 着恐惧、 狡猾和憎恨的坚定神色",-1.0
居里夫人,327,"谁统治我们? 亚历山大二世陛下,全俄罗斯的皇帝,玛妮雅很痛苦地说, 她的脸色变得惨白",-1.5
居里夫人,331,"忽然,在这个复活了的教室里,这个波兰小孩难过 得哭了起来",-1.0
居里夫人,336,"霍恩堡问了玛妮雅她回答得极好后来她哭了 这个督学好象对各班都没有任何责备 感情洋溢的海拉低声说个不停,玛妮雅只安静地在姑母身边 走;受考问之后虽然已经过了好几个钟点,这个小女孩仍然觉得不 安",-1.0
居里夫人,337,"她深恨这种突如其来的惊恐,深恨这种屈辱的表演,在这种场 合,人们必须说谎,永远说谎 嬷嬷,小孩对保姆的称呼. 霍恩堡的视察,使她今天更沉重地感觉到自己生活中的悲哀, 她哪里还记得自己从前是一个无忧无虑的婴儿?种种不幸的事 情,接连打击斯可罗多夫斯基一家,玛妮雅觉得过去的四年,有如 一场噩梦",-1.0
居里夫人,343,"因为家境困难,他们的生活 逐渐有了改变",-1.0
居里夫人,350,"从此之后,他懊悔错误, 焦虑将来,十分悲苦;因为他过度地内疚于心,就时时刻刻以使家 境贫困,使女儿们没有嫁资自责",-1.0
居里夫人,369,她热切而绝望地请求耶稣把生 命赐给世上她最爱的人,-1.0
居里夫人,386,"总有人禁不住要把他们学的拉丁诗句、历史日期或问题的句 子结结巴巴地朗读出来 在知识制造厂的每一隅,都有人在诉 苦,有人在挣扎,这些功课都是多么难呀!斯可罗多夫斯基教师常 常要安慰失望的学生,这个学生完全懂用本国语言写的一个论证, 可是用俄文这种官定文字写的,无论他如何努力也懂不了,更不能 把它重述出来 小玛妮雅却没有这些苦恼,她的记忆力极好,同伴们看见她一 首诗只读两遍就能一字不错地背诵出来,猜想是一种欺骗,总说她 瞒着人读过这些诗",-0.5
居里夫人,394,"她们要等很久,因为这个孩子什么也没发现",-1.0
居里夫人,402,"走过那些大女孩面前的时候,她只说了 三个字: 真无聊! 这样一句平静的断语,是那些大女孩不甚满意的",-1.8
居里夫人,406,"她忘了俄国密探,忘 了霍恩堡的视察,忘了被不愉快的工作折磨着的父亲的脸色,忘了 房子里无休止的嘈杂,忘了清晨天不亮就须睡意矇胧地由漆布沙 发上起来,以便寄宿生可以在饭厅里吃早点",-1.0
居里夫人,408,"她忘记了她的恐怖:对于压迫者的恐怖,对于宗教的恐怖,对 于疾病和死亡的恐怖",-1.0
居里夫人,409,她本能地设法逃出这种过于郁闷的气氛,-1.0
居里夫人,411,"她的意识一恢复, 一切就立刻重新 出现了首先是她母亲的病在家里造成的焦虑;她那以前很美 丽的母亲,现在只剩了一个影子",-1.0
居里夫人,415,"1878年5月9日,经她请求,医生离开了她,换了牧师来,只有牧 师知道这个基督徒的痛苦,知道她在留下四个孩子要她深爱的丈 夫照管的时候的悲哀,想到她要撒手的几个青年的前途和想到只 有十岁的玛妞希雅的时候的忧虑",-1.0
居里夫人,421,"后来慢慢地越发软弱了,剩下 的一点生气,只许她再作一个手势,再说一句话",-1.0
居里夫人,426,"斯可罗多夫斯基先生把全部空闲时间都用在这些 孤儿身上,但是他的照料很笨拙,令人伤心只是男人的照料",-1.0
居里夫人,433,"虽然斯可罗多夫斯基一家刚刚遭到灾难,这一家正是到了这 种时期",-1.0
居里夫人,435,"他们战胜困 难,克服阻碍,四个都成了非凡的人物",-1.0
居里夫人,445,"他的妹妹们都羡慕他而且嫉 妒他,这三个斯可罗多夫斯卡因为在智力方面野心太大,早就觉得 烦恼不安;她们诅咒华沙大学不收女生的规则",-1.0
居里夫人,461,"她突然站住了,很失望,院子里没有人! 一个亲切的声音招呼她",-1.5
居里夫人,474,"玛妮雅和卡霁雅以取笑 那些俄国来的教师作为报复,她们忘不了那个讨厌的德文教员巴 斯特 麦丁,尤其忘不了她们恨入骨髓的那个极端可恶的学监梅 叶小姐",-1.0
居里夫人,477,"她事事责备玛妮雅,责备玛妮雅的顽强个性,责备玛妮雅 的轻蔑的微笑,玛妮雅听着她的侮辱性的批评的时候,总是用这 种微笑接受",-1.0
居里夫人,478,"这个女学究叹息着说:这个斯可罗多夫斯卡,简直不值得和 她说话象扔豆子打墙一样地没有用处!这个年轻女孩的馨发 格外使她生气,她说那是不整齐而且可笑的,她用刷子重重地刷 平那些不听话的鬟发,要把这个波兰女孩变成梳着紧辫子的格瑞 清,但是毫无用处,几分钟之后,那些很轻而且不受拘束的馨发, 就又冒出来拥住那鲜艳的脸了",-1.0
居里夫人,484,"被压迫者心中形成的冷酷无情,是政治压制造成的最不幸的 后果之一",-2.5
居里夫人,507,"她把谈锋转向昨天一个教师讲的历史 课,他说波兰是一个省,波兰语是一种方言,而波兰人的负恩,使深 爱她们的沙皇尼古拉一世因悲哀而死! 虽说这样,那个可怜虫对我们讲这些可耻的话的时候窘极 了",-1.0
居里夫人,532,"这两个惊呆了的小女孩围住那个不幸者,想问她话,想给她援 助;但是她们听见了梅叶女士尖声喊道: 来罢,小姐们,闲话说够了,快一点! 玛妮雅害怕得说不出话来,慢慢走到座位上",-1.0
居里夫人,535,"她们的反抗意识和她们的眼泪,都混杂在一起;她们尽力低声 下气地、温柔亲切地多方照料那个痛苦得抽搐着的朋友,洗她那哭 肿了的眼睛,劝她勉强喝一口热茶",-1.0
居里夫人,597,"这一 家的主人采取一种很新奇的态度对待他们,聚在一起的时候,两个 人都教训这些青年,都责备这些青年,并且对于他们的胡闹,都假 那累夫河,发源波兰东部,向西流",-1.0
居里夫人,619,"我看着她那疲倦的脸,将近五十年的 忧虑和大量工作,已经耗尽了她的精力",-1.0
居里夫人,620,"我感激命运,它在给这个 妇人艰苦而且严酷的使命之前,允许她坐在雪橇上去参加那种毫 无约束的库立格,允许她一夜工夫跳坏一双紫色羊皮薄底鞋",-1.0
居里夫人,642,"斯可罗多夫斯基先生的确无所不知,或者差不多是无所不知 的;欧洲什么地方现在还找得出来象他那样博学的无名教师?他 身为一家之主,维持收支平衡已经够困难的了,居然还找出时间来 看他很费力得来的出版物,以充实自己的科学知识",-1.0
居里夫人,644,"他们围着冒热气的茶炊闲谈,这个老人背诗 或朗读,儿女们都出神地听着他;他已经秃顶,一点点灰白胡子使 他温和的胖脸显得长一点;他有非凡的口才.一个星期六又一个星 期六,过去的名著就这样由一个熟识的声音介绍给玛妮雅,以前这 个声音说神话给她听,念游记给她听,或是教给她《大卫 科波菲 尔》,斯可罗多夫斯基先生总是打开书一面看, 一面就毫不困难 地用波兰语重述出来",-1.0
居里夫人,653,"苦痛;这是一个鳏夫的不能自慰的悲哀, 一个不得不从事次等工 作的受迫害的职员的忧愁和一个谨慎人的懊悔,因为他仍在责备 自己不应该作那次倒运的投资,而耗尽他的有限财产. 有时候,这个可怜的人只在不能自制时才诉苦: 我怎么会损失那笔钱的!我原想给你们最好的教育,让你们 旅行,然后送你们到外国去留学就这样,我把一切都毁了! 我没有钱,我不能帮助你们;不久,我还要累你们",-0.3333
居里夫人,654,"你们将来怎么 办呢? 这个教师忧虑地叹息着,转过身去看他的儿女,不知不觉地在 等他们对他说一些令人愉快的抗议,借以得到安慰",-1.0
居里夫人,657,"问题很简单,这一家之主的工资不久还要减成微薄的养 老金仅够付房租、食物费和给一个女仆的报酬;从此,约瑟夫、 布罗妮雅、海拉、玛妮雅都必须自己谋生",-1.0
居里夫人,724,"不幸得很,阿斯尼克和勃兰戴斯都没有给她们指 点办法,能在一个大学不收女生的城市里求得高深学问;也没有给 她们什么神方,能够靠教半卢布一小时的课就很快地积蓄一笔 财产! 天性慷慨的玛妮雅十分忧伤;这个原是一家里最小的孩子,却 觉得对大于自己的人的前途负有责任",-1.4
居里夫人,728,"玛妮雅知道她姐姐的痛苦,知道她心里 最大的愿望是到巴黎去学医,然后回波兰在乡间开业",-1.0
居里夫人,729,"这个可怜 的女孩已经节省出来一笔奋斗用的款子,可是居留国外的费用太 大了!她还须等多少月,等多少年呢? 玛妮雅的生性是先人后己,布罗妮雅明显的焦心和沮丧,成了 她时刻在念的忧虑",-0.3333
居里夫人,733,"她们的天性真是相得益 彰,姐姐的处事才识和经验令玛妮雅折服,所以日常生活的小问题 无不拿去请教;那个比较热烈而又比较胆小的妹妹,是布罗妮雅的 年轻的非凡的伴侣,她有一种感恩的感觉,有一种负债的渺茫观 念,因此她的爱更为深厚",-1.0
居里夫人,734,"有一天,布罗妮雅正在一张纸上写下一些数字,计算她有多少 钱,或者不如说计算她还缺多少钱,这是她第一千次计算了;玛妮 雅便直接了当地把问题提了出来",-1.0
居里夫人,758,"门开了,一个满脸失望的瘦女子走出来,穿过这个前厅,出去 的时候向玛妮雅作了一个再见的手势",-1.0
居里夫人,785,"最讨厌的是口头极甜,可是话里总流露着诽谤, 一种把人说得体无完肤的诽谤",-2.5
居里夫人,802,"她本指望在华沙作事可以赚到数目可观的款子,而不必忍受 痛苦远走他乡",-1.0
居里夫人,803,"留在城里可以减轻新当女教师的人的痛苦,她就 住在自己的家附近,可以每天回去和父亲谈一会话,可以与流动大 学里的朋友来往,并且谁知道呢?可以上一点课,或帮 助教一点夜课",-1.0
居里夫人,807,"她还须预备资助布罗妮雅, 因为布罗妮雅已经和玛丽亚 拉可夫斯卡一同到巴黎去了,正在 拉丁区过着贫苦日子",-1.0
居里夫人,810,"这样,她要与她所爱的人们 分别好几年,要过完全孤独的日子",-1.0
居里夫人,818,"只剩了 一个人完全孤独,这是她生平第一次! 这个十八岁的女孩,突然恐慌起来",-1.0
居里夫人,820,"假如这个新雇 主还和从前那些雇主一样,该怎么办?若是在她走了之后斯可罗多 夫斯基先生患病,可怎么好?她还能再看见他不能?她是不是作 了一件很蠢的事?十个、二十个令人痛苦的问题袭击着这个少女",-1.0
居里夫人,832,"这里的青年人十分乏味,女孩子们 除了极讨厌的以外,就是一些从来不开口的呆子;似乎也有几个比 较聪明的,可是直到现在,我觉得我的布朗卡(Z 小姐)是一颗少 有的明珠,她有良好的判断力,而且了解人生",-0.5
居里夫人,836,"斯塔斯很有趣,他的嬷 嬷讲给他听上帝是无所不在的,他的小脸显得很忧虑地问;他会 来捉我吗?他会咬我吗?'我们都觉得好玩极了! 玛妮雅没有写下去,把笔搁在她放置于落地窗前的那张桌子 上;她身穿毛衣冒着寒冷走到阳台上去",-1.5
居里夫人,864,"一个孤独的年轻女教师可以写很多信,只求有回信,信里有 城里的消息",-1.0
居里夫人,873,"今天早 晨我们又有了一场麻烦,她不肯按时起床,我最后不得不平静地拉 住她的手把她扯起来,心里很恼火",-1.0
居里夫人,874,"你想象不到这些小事使我多 么苦痛,这样一件蠢事会叫我难过几小时",-1.0
居里夫人,879,"说到青年男子,这里很少好的,也很少聪明 的象实证论、劳工问题等等字样,对男女青年来说, 都是讨厌的东西恐怕他们听也没有听见过,这是很少见的情 况",-0.3333
居里夫人,883,我差不多没有谈到 过妇女的高等教育问题,-1.0
居里夫人,908,"她对着这个愚昧的海洋,觉得自己软弱已极. 无能为力! 第六章 长期忍耐 这些小农民决不会料到玛丽亚小姐常常忧郁地考虑到她自 己的无知",-1.0
居里夫人,917,"这个计划是幼稚的,没有人能够从象斯茨初基这种地方逃 出去! 从她的灰心丧气,我们很容易发觉这个有天才的女子并不是 完全没有弱点的;我们可以感觉到她远不能保持一种超人的信心; 她和一般十九岁的女孩一样,心里很痛苦而且很失望",-1.5
居里夫人,924,"不过在这些年的工作中,我试着慢慢地找出我的 真正兴趣所在,而我终于转向数学和物理学了 我这种单枪匹马的研究,困难极多",-1.0
居里夫人,931,"到晚上九点,若没有意外的阻碍,我就专心看我的 书,并且作自己的工作 我养成了在六点钟起床的习惯,以便多用点功,但是不能永远 如此,此刻有一个很好的老人在这里住着,他是安霁亚的教父, 教父,天主教、正教及新教某些宗派,在施洗时为受洗者设置的男保证人和 监护人 . 为了要给他 一种消遣,Z 夫人要我请他教我下棋",-1.0
居里夫人,936,"我同时读几种书,因为专研究一种东西会使我的宝贵头脑疲 倦,它已经太辛苦了!若是在读书的时候觉得完全不能由书里吸 收有用的东西,我就作代数和三角习题,这是稍微分心就作不出来 的,这样它们就又把我引回正路去",-1.0
居里夫人,937,"我那可怜的布罗妮雅由巴黎写信给我,她的考试发生了许多 困难,她很用功,身体不好",-1.0
居里夫人,942,"即使我有过别 的计划,它们也已经化灰化烟了;我已经把它们埋葬、禁闭、封缄, 而且忘掉了因为若想试着用头去碰倒墙,你知道墙总是比头 坚固的 这种渺茫的想自杀的念头,这种关于恋爱的失望而且怀疑的 言词,须要加以解释",-1.0
居里夫人,953,看起来似乎没有阻碍他们结合的事情,-1.0
居里夫人,961,"这个学生受了教训、申斥和挫折,觉得失去了决心",-1.0
居里夫人,962,"他没有什 么个性,怕家里人的责备和愤怒",-1.0
居里夫人,963,"玛妮雅受了比她低的人们的轻 视,觉得很痛苦,于是保持一种很僵的冷淡和一种过分的沉默",-1.5
居里夫人,967,"到什么地方还能找到这种待遇?她与Z 家的人没有 直接解释,没有痛苦的争论;那么不如忍受这次屈辱,留在斯茨初 基,好象不曾发生什么事一样",-1.0
居里夫人,969,"她教课,责备安霁亚,激励 那个用一点脑力就会睡去的朱列克",-1.0
居里夫人,975,"我还记得有一年田里的雪很深,我们造了一间雪屋,可以 坐在里面看那一望无涯的略带玫瑰色的银白世界 恋爱的结果不幸,智力的梦想失望,物质的景况极其困难(她 因为帮助这个,帮助那个,自己什么也没有剩下);玛妮雅试图忘记 自己的命运,忘记自己永远陷进去的这个泥辙",-0.44
居里夫人,983,"我亲爱的哥哥,若是我写了一些傻话,你可不 要生气:你要记住,我一向是想到什么,就完全诚实地对你说出来, 这是我们的习惯",-1.0
居里夫人,984,"亲爱的哥哥,你看,人人都说在小地方工作会妨碍你加深 自己的修养,阻碍你做研究工作",-1.0
居里夫人,992,"我并不习惯用这 种调子对你说话或写信;不过我写的话都是发自我的心灵深处,而 且自从你一开始学医我就这样想,想过许久了 你再想一想,若是你留在父亲身边,他会多么高兴啊!他最 爱你,爱你比爱我们所有的人都深!你想象一下,如果海拉同M. B. 结婚,而你又远离华沙,可怜的父亲不就只剩孤零零一个人了 吗?他一定会极度悲哀",-1.0
居里夫人,993,"若是照我所说的办,你们可以住在一起, 那就真是十全十美了!不过你同时不要忘了须以节俭精神给我们 几个人留一小块地方,以备我们回去! 1887年4月4日,玛妮雅写给亨利埃特(亨利埃特当时刚产下 一个死婴)的信上说: 作母亲的人受了如许磨难,结果是一场空,这是多么痛 苦的事啊!若能以基督教的听天由命精神对自己说:上帝的意旨 要如此,就一定会如此,那么这种极度的悲哀还可以减轻一部分",-1.0
居里夫人,996,"请你原谅这些哲学意味的感想,因为你抱怨你所居住的 城里的精神太落后、太保守,所以我才有这些感想",-1.0
居里夫人,1000,"只有虚伪使我生气而虚 伪散布得太宽,以致真信仰实在少有我恨虚伪,但是我尊敬真 诚的宗教感,即使它具有的智能很有限,我也尊敬 1887年5月20日,玛妮雅写给约瑟夫的信上说: 我还不知道我的学生安霁亚是否去应试,但是预先我已 经很担忧",-0.4167
居里夫人,1004,"我也很担心我自己,觉得我似乎变得非常愚蠢 日子过得 这样快,而我没有什么显著进步",-0.25
居里夫人,1009,"这个谣 言传遍了乡问,甚至传到了华沙;虽然并不是我的错,但是我恐怕 这要给我招来麻烦",-1.0
居里夫人,1022,"若是忽然有一个突如其来的打击 例如读这一本书使我从这种窒闷的生活中解脱出来,我 就极感痛苦",-1.0
居里夫人,1028,"唉!我深愿能 有几天由这种冷冰冰的环境里抽身,能有几天不受人批评,能有 几天不必时时刻刻留意自己的言谈、神色和姿势",-1.0
居里夫人,1033,"我自问是否事事都真正那样不顺;而且我很 痛苦;除了忧虑家里之外,我在此地也有不少烦恼",-1.0
居里夫人,1036,"我 是你特选的妹妹,怎么能够不把与你有关的事都放在心上呢!怎么 能够不把它当作也与我有关呢? 说到我,我很愉快,并且时常用欢笑掩饰我的极深的不快乐",-1.0
居里夫人,1040,"我过了一些很困难的日子,在回忆的 时候唯一能安慰我的,乃是不管怎样困难,我还是诚实地应付过来 了,而且头昂得很高 (你看,我在生活中还没有放弃从前使梅 叶小姐恨我的那种态度",-1.1667
居里夫人,1042,"不要害怕,我决不会陷 入这种和我的天性很不相容的恶习只不过近来我变得很神经 过敏而已",-1.0
居里夫人,1045,"我们有多 少事要说啊!我将带锁去锁我们的嘴,不然我们不到天亮决不肯 睡觉!你的母亲是否仍象从前那样,给我们果汁露和冰巧克力呢? 1888年10月,玛妮雅写给约瑟夫的信上说: 我忧郁地看着我的日历:今天我用了五张邮票,更不用计算 信纸",-1.0
居里夫人,1065,"1888年4月,他接受了一个既讨厌又 麻烦的位置:管理离华沙不远的斯图德西尼茨地方的一个儿童感 化院",-1.0
居里夫人,1107,"可是在另一方面,我想到我的还有点价值的才干就这样 毁了,我也觉得很伤心",-1.5
居里夫人,1109,"你不能了解我多么替 她难过!她永远是我们家里最小的孩子,我觉得我有照料她的 责任,这个可怜的小东西真是极需照料啊! 但是你,布罗妮雅,我求你用你的全部力量负责为约瑟夫谋福 利;即使你认为去哀求那个能够解决他的困难的S夫人并不是你的 责任,我也请你克服这种感情",-0.3333
居里夫人,1113,"即使你觉得这惹人讨厌,那又 算什么?只要目的达到,有什么关系?再说,这种请求难道太大么? 人们不是常比这个还更讨厌么?有了这种帮助,约瑟夫就可以成为 社会上有用的人;然而他如果离开华沙到地方上去,他就算完了! 我用海拉、约瑟夫、父亲和我自己的摧毁了的前途打搅你,我 心里忧愁已极,悲伤已极,我觉得我多么不应该告诉你这些事,使 你不快乐啊!在我们这些人里,只你有人们所说的幸运",-0.5
居里夫人,1114,"请原谅我, 但是你看,有这么些事情使我难过,我自然很难用愉快的语气结束 这封信",-1.0
居里夫人,1116,"下次写信的时候,我将写得长些而且快活 些,但是今天我觉得在这个世界上特别难过",-2.0
居里夫人,1119,"可惜她缺少解决这个问题的手段, 她太穷了,没有力量为她的妹妹付旅费,不能强迫她的妹妹上火 车",-1.0
居里夫人,1124,"流动大学又对她打开了神秘之 门;还有一件无上快乐的,也是极重要的事情:玛妮雅生平第一次 进入了一个实验室里! 在克拉科夫大道六十六号, 一个种着丁香花的院子的尽头,有 一座两层的小建筑,只有极小的窗户透进光线",-1.0
居里夫人,1129,"不时有些没有想到的小小的成 功使我感到鼓舞;但是因为缺乏经验,我有时候也不免为意外事故 或失败而陷于失望",-1.0
居里夫人,1147,"她写信给我说她很郁闷;我担心她的忧愁和她的职业的不稳 定,会把她愁坏了",-1.25
居里夫人,1150,"假如我的预见准确,我恐怕以前使她难过 的那些人,又会要使她难堪;如果目的是要建立一个称心的生 活,而且使两个人幸福,倒也值得挺身对付这些阻碍",-0.3333
居里夫人,1153,"只是目前的情形很不顺利,尤其是, 假如玛妮雅在回来的时候还没有完全痊愈,我要反对她动身,因为 在巴黎过冬是很苦的,别的困难就不必说了,我也不考虑她离开我 之后我会如何痛苦,因为这最末一个理由显然是次要的",-1.0
居里夫人,1158,"由于那个大学生又对玛妮雅吐露他已说过上 百次的犹疑和恐惧,玛妮雅觉得厌烦,说出破釜沉舟的话来: 既然你看不出有解决我们处境的方法,我可教不了你",-1.0
居里夫人,1162,"她计算了一下她过了多少年的痛苦日子, 一 直心里象油煎,可是还须勉强忍耐",-1.0
居里夫人,1169,"今夏我经受了一些将要影响我一生的残酷折磨,到巴黎 去可以使我的精神恢复平衡,这将是一大幸事;但是,从另一方面 说,我不愿意使你受累",-1.0
居里夫人,1176,"我答应 你们我决不制造麻烦,也决不扰乱秩序",-1.0
居里夫人,1218,"在开始几个星期里,她遇到了一些没有料到的障碍",-1.0
居里夫人,1238,"她是一个独立性很 强的青年女子,虽然您把她交给我照管,给我正式权力,但她对我 既不表示尊敬也不表示服从,而是嘲笑我的权威和我的郑重,把它 们视为敝屣",-1.0
居里夫人,1246,"他在波兰某处有一 个富裕的家庭,在法国外交部的案卷里有一份沙皇警察署授意的 文件这个到霉的文件阻碍着他,使他永远不能取得入籍和在 巴黎定居的权利",-1.0
居里夫人,1253,"这一对夫妇 工作极勤,由一家跑到一家,去看他们的病人 但是到了晚上,点着了灯,他们就把一切忧虑扔得远远的",-1.0
居里夫人,1255,"过了一天很长而且 辛苦的日子之后,有时候他设法到戏院去玩一晚上,坐最便宜的位 子;假如没有钱,他就自己弹钢琴,因为他弹得极好",-1.0
居里夫人,1266,他 毫不悲愤地谈到自己的困苦生活、自己的失望和奋斗,-0.3333
居里夫人,1281,"这些贫穷的青年人组织一些聚会和圣诞夜餐会, 一些好意的 厨子给夜餐会做华沙菜:浅紫色的热巴尔什茨,蘑菇白菜,塞肉的 白斑狗鱼,罂粟子糕,几杯伏特加,很浓的茶还有戏剧表演, 由一些业余演员表演喜剧和正剧",-1.0
居里夫人,1300,"我们都好,玛妮雅气色极好,我似乎觉得她过的艰苦生活丝 毫没有使她疲倦 斯可罗多夫斯基先生写信给布罗妮雅说: 亲爱的布罗妮雅:那个熨斗合用,我很高兴",-1.0
居里夫人,1304,"1892年1月31日,斯可罗多夫斯基先生写信给玛丽说: 亲爱的玛妮雅:你最近的一封信使我很忧虑,我惋惜你那样 积极参加组织那次戏剧表演",-1.5
居里夫人,1306,"这也许会引起很大的麻烦,甚至于会禁止这些人担任某些职 务",-1.0
居里夫人,1328,"自从玛丽 自动放弃了德卢斯基家供给她的食宿,就不得不自己支付所有的 费用",-1.0
居里夫人,1331,"这是亟需解决 的问题,但是从来还没有一个问题是玛丽不能解决的! 1893年3月17日玛丽写给她的哥哥约瑟夫的信上说: 你大概已从父亲处得悉,我决定搬到离学校近一点的地方居 住;为了几种原因我不得不迁移,尤其是这个学期不得不如此",-1.0
居里夫人,1381,"醒过来的时候,她自问为什么昏过去;她觉得自 己有病,但是她对于疾病也和对于别的事一样,极为轻视",-1.0
居里夫人,1386,"然后,用一个表示不关心的手势,推开这些忧虑,开始和她的外甥 女玩,这是布罗妮雅的女儿,她很爱这个小孩",-1.0
